시설명,대표자,연락처,주소,지도자,시설면적,운동종류,장애종류,강의명,시간,요일,강사명,기간,차량지원,장애 지원시설,수강료
다모여태권스쿨,성명희,062-385-0591,"광주광역시 서구 금화로115번길 9 상가2층 다모여태권스쿨(금호동, 한국아파트)",2명,132 ㎡,태권도,"지체, 지적/자폐",[12월] 태권도,15:30 ~ 20:30,"월,화,수,목,금",최하준,2020.12.01 ~ 2020.12.10,지원,,"80,000"
다사랑태권도,곽정순,042-283-7222,대전시 동구 천동 520번지 월드빌딩 4층,명, ㎡,태권도,"청각/언어, 지적/자폐",[12월] 태권도,14:00 ~ 16:00,"월,화,수,목,금",장경식,2020.12.01 ~ 2020.12.10,지원,,"80,000"
다솜운동발달센터,이현주,02-354-5943,서울특별시 은평구 서오릉로 31 4층 다솜운동발달센터(녹번동),5명,237 ㎡,기타종목,"청각/언어, 지적/자폐, 기타",[12월] 특수체육,09:00 ~ 19:00,"월,화,수,목,금,토",이현주,2020.12.01 ~ 2020.12.10,지원,"주출입구 단차없음,시각장애인 편의서비스","80,000"
다이몬휘트니스 천곡점,박효근,010-5793-8844,울산광역시 북구 아진로 94 아진프라자 3층 다이몬휘트니스(천곡동),5명,445 ㎡,헬스,"시각, 청각/언어",[12월] 헬스 에어로빅 스피닝 점핑,08:30 ~ 23:00,"월,화,수,목,금,토",박효근,2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인전용 주차구역","80,000"
다이몬휘트니스 호계점,박효근,010-3919-0987,울산광역시 북구 제내1길 2 필그린쇼핑센터 4층 다이몬휘트니스(신천동),2명,495 ㎡,헬스,"시각, 청각/언어, 기타",[12월] 헬스 스피닝 점핑 에어로빅 줌바,08:30 ~ 23:00,"월,화,수,목,금,토",박효성,2020.12.01 ~ 2020.12.10,미지원,장애인용 엘리베이터,"80,000"
다지기 아동발달센터,김경호,02-416-2086,경기도 안산시 상록구 샘골로 119 우석프라자 2층,2명,141 ㎡,배드민턴,지적/자폐,[12월] 공맞추기,15:00 ~ 19:00,"화,목","김경호,,송동혁",2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인용 엘리베이터,장애인전용 주차구역","80,000"
다지기 아동발달센터,김경호,02-416-2086,경기도 안산시 상록구 샘골로 119 우석프라자 2층,2명,141 ㎡,기타종목,지적/자폐,[12월] 즐거운점프,15:00 ~ 19:00,"월,수,금","김경호,,송동혁",2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인용 엘리베이터,장애인전용 주차구역","80,000"
단국대 튼튼i 태권스쿨,김인규,053-356-8879,대구광역시 북구 침산남로19길 2 3층 튼튼아이태권도(침산동),2명,40 ㎡,태권도,"청각/언어, 지적/자폐",[12월] 태권도,10:00 ~ 12:00,"월,화,수,목,금",김인규,2020.12.01 ~ 2020.12.10,지원,장애인용 엘리베이터,"80,000"
달서복싱.이곡헬스,정희준,010-4968-5247,대구광역시 달서구 달구벌대로 1328 4층 (주)디에스그룹(이곡동),2명,178 ㎡,헬스,"시각, 청각/언어, 지적/자폐, 기타",[12월] 달서 신나는 운동교실 ,10:00 ~ 23:00,"월,화,수,목,금","정희준,,손예지,,,윤채아",2020.12.01 ~ 2020.12.10,미지원,,"80,000"
달서복싱.이곡헬스,정희준,010-4968-5247,대구광역시 달서구 달구벌대로 1328 4층 (주)디에스그룹(이곡동),2명,178 ㎡,복싱,"시각, 청각/언어, 지적/자폐, 기타",[12월] 신나는복싱교실.운동,10:00 ~ 23:00,"월,화,수,목,금","정희준,,손예지,,윤채아",2020.12.01 ~ 2020.12.10,미지원,,"80,000"
대건합기도,배종호,031-591-1397,"경기도 남양주시 호평로 94 후문상가 301(호평동, 금강아파트)",4명,100 ㎡,합기도,기타,[12월] 합기도,13:00 ~ 21:00,"월,화,수,목,금",배종호,2020.12.01 ~ 2020.12.10,지원,,"80,000"
대구 시설공단 서재문화체육센터,김호경,053-656-0462,대구광역시 달서구 앞산순환로 206 대덕승마장 ,4명,32061 ㎡,승마,"지체, 지적/자폐, 기타",[12월] 재활승마,09:40 ~ 17:30,"화,수,목,금,토,일",이지현,2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인전용 주차구역","45,000"
대구 시설공단 서재문화체육센터,김호경,053-656-0462,대구광역시 달서구 앞산순환로 206 대덕승마장 ,4명,32061 ㎡,승마,"지체, 지적/자폐, 기타",[12월] 재활승마,09:40 ~ 17:30,"화,수,목,금,토,일",이지현,2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인전용 주차구역","45,000"
대구 시설공단 서재문화체육센터,김호경,053-656-0462,대구광역시 달서구 앞산순환로 206 대덕승마장 ,4명,32061 ㎡,승마,"지체, 지적/자폐, 기타",[12월] 재활승마,09:40 ~ 17:30,"화,수,목,금,토,일",이지현,2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인전용 주차구역","45,000"
대구광역시달구벌재활스포츠센터,,053-523-2112,대구광역시 달서구 달구벌대로 291길 100 ,명, ㎡,수영,"지체, 지적/자폐",[12월] 돌고래수영교실,17:00 ~ 17:50,"월,수",홍성진,2020.12.01 ~ 2020.12.10,미지원,,"40,000"
대구광역시장애인국민체육센터,권영진,02-795-8063,대구광역시 수성구 유니버시아드로42길 125 대구광역시장애인국민체육센터(대흥동),2명,220 ㎡,헬스,"지체, 시각, 청각/언어, 지적/자폐, 뇌병변, 기타",[12월] 장애인건강운동교실,09:00 ~ 12:00,"화,목",서희승,2020.12.01 ~ 2020.12.10,지원,"장애인 화장실,장애인용 엘리베이터,장애인전용 주차구역,주출입구 단차없음,휠체어 대여,시각장애인 편의서비스,청각장애인 편의서비스","23,000"
대구광역시지적발달장애인복지협회 달성군지부,이미향,053-644-2356,"대구광역시 남구 중앙대로 219 특수통합교육관 다목적실 1, 2(대명동)",3명,210 ㎡,기타종목,"지적/자폐, 뇌병변",[12월] 심리운동재활서비스,09:00 ~ 21:00,"월,화,수,목,금,토",전재수,2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인용 엘리베이터,장애인전용 주차구역,주출입구 단차없음,휠체어 대여,시각장애인 편의서비스,청각장애인 편의서비스","100,000"
대구복싱다이어트클럽,이보경,053-636-8868,대구광역시 달서구 한실로 71 일성빌딩 4층(도원동),1명,343 ㎡,복싱,"지체, 청각/언어, 지적/자폐, 뇌병변",[12월] 복싱,10:30 ~ 23:00,"월,화,수,목,금",이보경,2020.12.01 ~ 2020.12.10,미지원,,"110,000"
대구복싱다이어트클럽,이보경,053-636-8868,대구광역시 달서구 한실로 71 일성빌딩 4층(도원동),1명,343 ㎡,복싱,"지체, 청각/언어, 지적/자폐, 뇌병변",[12월] 복싱,10:30 ~ 23:00,"월,화,수,목,금",이보경,2020.12.01 ~ 2020.12.10,미지원,,"110,000"
대구시설공단 대구승마힐링센터,김호경,053-656-0462,대구광역시 달서구 앞산순환로 206 대덕승마장 ,4명,32061 ㎡,승마,"지체, 지적/자폐, 기타",[12월] 재활승마,09:40 ~ 17:30,"화,수,목,금,토,일",이지현,2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인전용 주차구역","45,000"
대구시설공단 대구승마힐링센터,김호경,053-656-0462,대구광역시 달서구 앞산순환로 206 대덕승마장 ,4명,32061 ㎡,승마,"지체, 지적/자폐, 기타",[12월] 재활승마,09:40 ~ 17:30,"화,수,목,금,토,일",이지현,2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인전용 주차구역","45,000"
대구시설공단 대구승마힐링센터,김호경,053-656-0462,대구광역시 달서구 앞산순환로 206 대덕승마장 ,4명,32061 ㎡,승마,"지체, 지적/자폐, 기타",[12월] 재활승마,09:40 ~ 17:30,"화,수,목,금,토,일",이지현,2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인전용 주차구역","45,000"
대구시설공단 올림픽기념국민생활관,김호경,053-656-0462,대구광역시 달서구 앞산순환로 206 대덕승마장 ,4명,32061 ㎡,승마,"지체, 지적/자폐, 기타",[12월] 재활승마,09:40 ~ 17:30,"화,수,목,금,토,일",이지현,2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인전용 주차구역","45,000"
대구시설공단 올림픽기념국민생활관,김호경,053-656-0462,대구광역시 달서구 앞산순환로 206 대덕승마장 ,4명,32061 ㎡,승마,"지체, 지적/자폐, 기타",[12월] 재활승마,09:40 ~ 17:30,"화,수,목,금,토,일",이지현,2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인전용 주차구역","45,000"
대구시설공단 올림픽기념국민생활관,김호경,053-656-0462,대구광역시 달서구 앞산순환로 206 대덕승마장 ,4명,32061 ㎡,승마,"지체, 지적/자폐, 기타",[12월] 재활승마,09:40 ~ 17:30,"화,수,목,금,토,일",이지현,2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인전용 주차구역","45,000"
대구시설공단(두류수영장),김호경,053-656-0462,대구광역시 달서구 앞산순환로 206 대덕승마장 ,4명,32061 ㎡,승마,"지체, 지적/자폐, 기타",[12월] 재활승마,09:40 ~ 17:30,"화,수,목,금,토,일",이지현,2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인전용 주차구역","45,000"
대구시설공단(두류수영장),김호경,053-656-0462,대구광역시 달서구 앞산순환로 206 대덕승마장 ,4명,32061 ㎡,승마,"지체, 지적/자폐, 기타",[12월] 재활승마,09:40 ~ 17:30,"화,수,목,금,토,일",이지현,2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인전용 주차구역","45,000"
대구시설공단(두류수영장),김호경,053-656-0462,대구광역시 달서구 앞산순환로 206 대덕승마장 ,4명,32061 ㎡,승마,"지체, 지적/자폐, 기타",[12월] 재활승마,09:40 ~ 17:30,"화,수,목,금,토,일",이지현,2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인전용 주차구역","45,000"
대도태권도장,박경환,02-371-4610,"광주광역시 서구 화정로 87-1 3단지 상가 201호(쌍촌동, 시영아파트)",1명,131 ㎡,태권도,"지체, 시각, 청각/언어, 지적/자폐, 뇌병변, 기타","[12월] 태권도, 요가,줄넘기,격파등",10:00 ~ 21:00,"월,화,수,금",박경환,2020.12.01 ~ 2020.12.10,지원,"장애인전용 주차구역,주출입구 단차없음","120,000"
대동도장,신재상,02-475-3577,서울시 강동구 천중로29길 32 2층,2명,165 ㎡,기타종목,"시각, 청각/언어",[12월] 건강체조,13:00 ~ 22:00,"화,목",박균호,2020.12.01 ~ 2020.12.10,지원,,"80,000"
대명체육관,홍기용,02-2207-9011,서울특별시 중랑구 봉화산로56길 153 대명프라자 309호 310호(신내동),1명,160 ㎡,유도,"청각/언어, 지적/자폐, 뇌병변",[12월] 유도,19:00 ~ 20:00,"월,화,수,목,금",홍기용,2020.12.01 ~ 2020.12.10,지원,"장애인전용 주차구역,주출입구 단차없음","140,000"
대산태권도체육관,최치훈,053-952-6893,대구광역시 북구 연암로 170 4층 대산태권도체육관(산격동),1명,200 ㎡,태권도,"지체, 청각/언어, 지적/자폐, 기타",[12월] 태권도,15:20 ~ 16:20,"월,화,수,목,금",최치훈,2020.12.01 ~ 2020.12.10,지원,,"80,000"
대산태권도체육관,최치훈,053-952-6893,대구광역시 북구 연암로 170 4층 대산태권도체육관(산격동),1명,200 ㎡,태권도,"지체, 청각/언어, 지적/자폐, 기타",[12월] 태권도,15:20 ~ 16:20,"월,화,수,목,금",최치훈,2020.12.01 ~ 2020.12.10,지원,,"80,000"
대산태권도체육관,최치훈,053-952-6893,대구광역시 북구 연암로 170 4층 대산태권도체육관(산격동),1명,200 ㎡,태권도,"지체, 청각/언어, 지적/자폐, 기타",[12월] 태권도,15:20 ~ 16:20,"월,화,수,목,금",최치훈,2020.12.01 ~ 2020.12.10,지원,,"80,000"
대산태권도체육관,최치훈,053-952-6893,대구광역시 북구 연암로 170 4층 대산태권도체육관(산격동),1명,200 ㎡,태권도,"지체, 청각/언어, 지적/자폐, 기타",[12월] 태권도,15:20 ~ 16:20,"월,화,수,목,금",최치훈,2020.12.01 ~ 2020.12.10,지원,,"80,000"
대연킴스볼링,권성희,02-625-8704,부산광역시 남구 석포로 116 대연킴스볼링장(대연동),3명,2000 ㎡,볼링,"지체, 시각, 청각/언어, 지적/자폐",[12월] 볼링,13:00 ~ 14:30,"월,수,토","이현정,,오태윤,,이주남",2020.12.01 ~ 2020.12.10,지원,"장애인 화장실,장애인용 엘리베이터,장애인전용 주차구역,시각장애인 편의서비스,청각장애인 편의서비스","80,000"
대장부 태권도,석태호,053-956-8021,"대구광역시 북구 동북로 345 상가 401동 2층 207호(복현동, 복현푸르지오)",1명,221 ㎡,태권도,"청각/언어, 지적/자폐, 기타",[12월] 태권도,14:00 ~ 19:00,"월,화,수,목,금",석태호,2020.12.01 ~ 2020.12.10,지원,"장애인 화장실,장애인용 엘리베이터,장애인전용 주차구역","80,000"
대전mma,황진수,02-242-7989,대전광역시 중구 충무로107번길 122 3층 체육관(대흥동),1명,60 ㎡,기타종목,기타,[12월] 주짓수 복싱,14:00 ~ 23:00,"월,화,수,목,금",황진수,2020.12.01 ~ 2020.12.10,미지원,장애인전용 주차구역,"80,000"
대전복싱클럽,,042-624-1848,"대전광역시 대덕구 중리북로 4 (법동, 동아빌딩) 동아빌딩3층",명, ㎡,복싱,"청각/언어, 지적/자폐",[12월] 복싱, ~ ,"월,화,수,목,금",,2020.12.01 ~ 2020.12.31,미지원,,"120,000"
대전시설관리공단 장애인체육센터,설동승,02-724-3570,대전광역시 유성구 덕명로56번길 85 장애인체육센터(덕명동),1명,126 ㎡,헬스,"지체, 청각/언어, 지적/자폐, 기타",[12월] 헬스,09:00 ~ 21:00,"월,화,수,목,금",장석재,2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인용 엘리베이터,장애인전용 주차구역,주출입구 단차없음,휠체어 대여,시각장애인 편의서비스,청각장애인 편의서비스","20,000"
대전시설관리공단 장애인체육센터,설동승,02-724-3570,대전광역시 유성구 덕명로56번길 85 장애인체육센터(덕명동),1명,126 ㎡,헬스,"지체, 시각, 청각/언어, 지적/자폐, 기타",[12월] 헬스(보호자 동반),09:00 ~ 21:00,"월,화,수,목,금,토,일",장석재,2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인용 엘리베이터,장애인전용 주차구역,주출입구 단차없음,휠체어 대여,시각장애인 편의서비스,청각장애인 편의서비스","20,000"
대천체육관,백형규,051-365-3040,부산광역시 북구 양달로 70 대광빌딩 5층 대천태권도(화명동),3명,396 ㎡,태권도,"지적/자폐, 기타",[12월] 태권도,14:30 ~ 22:10,"월,화,수,목,금",백형규,2020.12.01 ~ 2020.12.10,지원,"장애인 화장실,장애인전용 주차구역,주출입구 단차없음,휠체어 대여","80,000"
대치통합발달심리센터,김철희,010-5621-7779,서울특별시 강남구 선릉로 320 성진빌딩 지하1층,3명,281 ㎡,기타종목,"지체, 시각, 청각/언어, 지적/자폐, 뇌병변, 기타",[12월] 수중운동,09:00 ~ 18:00,"월,화,수,목,금,토","하재민,,박인호",2020.12.01 ~ 2020.12.10,지원,장애인 화장실,"80,000"
대치통합발달심리센터,김철희,010-5621-7779,서울특별시 강남구 선릉로 320 성진빌딩 지하1층,3명,281 ㎡,기타종목,"지체, 시각, 청각/언어, 지적/자폐, 뇌병변, 기타",[12월] 심리운동,09:00 ~ 18:00,"월,화,수,목,금,토","하재민,,박인호",2020.12.01 ~ 2020.12.10,지원,장애인 화장실,"80,000"
대치통합발달심리센터,김철희,010-5621-7779,서울특별시 강남구 선릉로 320 성진빌딩 지하1층,3명,281 ㎡,기타종목,"지체, 시각, 청각/언어, 지적/자폐, 뇌병변, 기타",[12월] 특수체육,09:00 ~ 18:00,"월,화,수,목,금,토","하재민,,박인호",2020.12.01 ~ 2020.12.10,지원,장애인 화장실,"80,000"
대평체육관,김병철,053-558-6574,대구광역시 서구 문화로49길 31 3층 대평태권도,1명,198 ㎡,태권도,"지체, 청각/언어, 지적/자폐, 기타",[12월] 신나는 태권도,11:00 ~ 22:00,"화,목",김병철,2020.12.01 ~ 2020.12.10,지원,,"80,000"
대평체육관,김병철,053-558-6574,대구광역시 서구 문화로49길 31 3층 대평태권도,1명,198 ㎡,태권도,"지체, 청각/언어, 지적/자폐, 기타",[12월] 신나는태권도교실,13:00 ~ 22:00,"월,화,수,목,금",김병철,2020.12.01 ~ 2020.12.10,지원,,"80,000"
대평체육관,김병철,053-558-6574,대구광역시 서구 문화로49길 31 3층 대평태권도,1명,198 ㎡,태권도,"지체, 청각/언어, 지적/자폐, 기타",[12월] 신나는태권도교실,13:00 ~ 22:00,"월,수,금",김병철,2020.12.01 ~ 2020.12.10,지원,,"80,000"
대한공수도(Karate),정일홍,051-744-8890,부산광역시 해운대구 좌동순환로 506 501호(중동),2명,16686 ㎡,기타종목,"지체, 청각/언어, 지적/자폐, 뇌병변, 기타",[12월] 공수도(가라데)와 신체활동,07:00 ~ 14:00,"월,화,수,목,금,토","정일홍,,강주성",2020.12.01 ~ 2020.12.10,미지원,,"80,000"
대한공수도(Karate),정일홍,051-744-8890,부산광역시 해운대구 좌동순환로 506 501호(중동),2명,16686 ㎡,기타종목,"지체, 청각/언어, 지적/자폐, 뇌병변, 기타",[12월] 권격도(킥복싱),07:00 ~ 14:00,"월,화,수,목,금,토,일","정일홍,,강주성",2020.12.01 ~ 2020.12.10,미지원,,"80,000"
대한민국다이어트센타,윤현기,053-201-9800,대구광역시 달서구 성당로 189 2층 헬스장(성당동),1명,198 ㎡,헬스,"지체, 청각/언어, 지적/자폐, 기타","[12월] 헬스,다이어트,건강 ",07:00 ~ 23:00,"월,화,수,목,금","윤현기,관장",2020.12.01 ~ 2020.12.10,미지원,주출입구 단차없음,"80,000"
대한태권도,박미정,053-963-0787,대구광역시 동구 율하동로24길 7 5층(신기동),1명,214 ㎡,태권도,"지체, 시각, 청각/언어, 지적/자폐, 뇌병변, 기타",[12월] 태권도,14:00 ~ 21:30,"월,수,금",최병기,2020.12.01 ~ 2020.12.10,지원,,"80,000"
대한태권도,박미정,053-963-0787,대구광역시 동구 율하동로24길 7 5층(신기동),1명,214 ㎡,태권도,"청각/언어, 지적/자폐, 기타",[12월] 태권도,14:00 ~ 21:30,"월,화,수,목,금",최병기,2020.12.01 ~ 2020.12.10,지원,,"80,000"
대한합기도승리관 신흥수련관,최길섭,061-281-0044,"전라남도 목포시 신흥로 13 우성상가 2층 202호(상동, 우성아파트)",1명,34 ㎡,합기도,기타,[12월] 대한합기도승리관신흥수련관,15:00 ~ 23:30,"월,화,수,목,금",최길섭,2020.12.01 ~ 2020.12.10,지원,,"110,000"
더스포츠센터,박성옥,051-521-7100,"부산광역시 해운대구 선수촌로 122 상가동 지하1층(반여동, 아시아선수촌아파트)",5명,1500 ㎡,수영,"지체, 청각/언어, 지적/자폐",[12월] 수영개인레슨,06:00 ~ 22:00,"월,화,수,목,금",김경재,2020.12.01 ~ 2020.12.10,지원,장애인전용 주차구역,"400,000"
더스포츠센터,박성옥,051-521-7100,"부산광역시 해운대구 선수촌로 122 상가동 지하1층(반여동, 아시아선수촌아파트)",5명,1500 ㎡,헬스,"청각/언어, 지적/자폐",[12월] 유산소및근력강화 운동,06:00 ~ 12:00,"월,화,수,목,금,토",허종진,2020.12.01 ~ 2020.12.10,지원,장애인전용 주차구역,"400,000"
더원 행동재활센터,이승엽,032-214-2004,경기도 부천시 길주로 273 604호 더원(중동),6명,160 ㎡,기타종목,"지체, 시각, 청각/언어, 지적/자폐, 뇌병변, 기타",[12월] 건강 및 체력관리,17:00 ~ 17:50,화,권용성,2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인용 엘리베이터,장애인전용 주차구역,주출입구 단차없음","120,000"
더원 행동재활센터,이승엽,032-214-2004,경기도 부천시 길주로 273 604호 더원(중동),6명,160 ㎡,기타종목,"지체, 시각, 청각/언어, 지적/자폐, 뇌병변, 기타",[12월] 건강 및 체력관리,18:00 ~ 18:50,화,이세헌,2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인용 엘리베이터,장애인전용 주차구역,주출입구 단차없음","120,000"
더원 행동재활센터,이승엽,032-214-2004,경기도 부천시 길주로 273 604호 더원(중동),6명,160 ㎡,기타종목,"지체, 시각, 청각/언어, 지적/자폐, 뇌병변, 기타",[12월] 건강관리 및 농구,17:00 ~ 17:50,"화,금",권용성,2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인용 엘리베이터,장애인전용 주차구역,주출입구 단차없음","120,000"
더원 행동재활센터,이승엽,032-214-2004,경기도 부천시 길주로 273 604호 더원(중동),6명,160 ㎡,농구,"지체, 시각, 청각/언어, 지적/자폐, 뇌병변, 기타",[12월] 농구,17:00 ~ 17:50,목,권용성,2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인용 엘리베이터,장애인전용 주차구역,주출입구 단차없음","120,000"
더원 행동재활센터,이승엽,032-214-2004,경기도 부천시 길주로 273 604호 더원(중동),6명,160 ㎡,농구,"지체, 시각, 청각/언어, 지적/자폐, 뇌병변, 기타",[12월] 농구,18:00 ~ 18:50,목,이세헌,2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인용 엘리베이터,장애인전용 주차구역,주출입구 단차없음","120,000"
더원 행동재활센터,이승엽,032-214-2004,경기도 부천시 길주로 273 604호 더원(중동),6명,160 ㎡,기타종목,"지체, 시각, 청각/언어, 지적/자폐, 뇌병변, 기타",[12월] 사회성 및 놀이운동,15:00 ~ 15:40,화,권용성,2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인용 엘리베이터,장애인전용 주차구역,주출입구 단차없음","120,000"
더원 행동재활센터,이승엽,032-214-2004,경기도 부천시 길주로 273 604호 더원(중동),6명,160 ㎡,기타종목,"지체, 시각, 청각/언어, 지적/자폐, 뇌병변, 기타",[12월] 사회성 및 놀이운동,16:00 ~ 16:50,화,권용성,2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인용 엘리베이터,장애인전용 주차구역,주출입구 단차없음","120,000"
더원 행동재활센터,이승엽,032-214-2004,경기도 부천시 길주로 273 604호 더원(중동),6명,160 ㎡,기타종목,"지체, 시각, 청각/언어, 지적/자폐, 뇌병변, 기타",[12월] 특수체육,14:00 ~ 14:50,토,이세헌,2020.12.01 ~ 2020.12.10,미지원,"장애인 화장실,장애인용 엘리베이터,장애인전용 주차구역,주출입구 단차없음","120,000"
더짐피트니스,최연욱,02-338-9119,부산광역시 북구 백양대로 1017 한성빌딩4층(구포동),6명,260 ㎡,기타종목,"청각/언어, 기타",[12월] 플라잉요가 오전 화 목,11:00 ~ 11:50,"화,목",진유경,2020.12.01 ~ 2020.12.10,미지원,,"90,000"
더짐피트니스,최연욱,02-338-9119,부산광역시 북구 백양대로 1017 한성빌딩4층(구포동),6명,260 ㎡,필라테스,"청각/언어, 기타",[12월] 플라잉요가 저녁 월 수 금,19:00 ~ 19:50,"월,수,금",진유경,2020.12.01 ~ 2020.12.10,미지원,,"90,000"
더짐피트니스,최연욱,02-338-9119,부산광역시 북구 백양대로 1017 한성빌딩4층(구포동),6명,260 ㎡,필라테스,"청각/언어, 기타",[12월] 필라테스 오전  월 수금,11:00 ~ 11:50,"월,수,금",진유경,2020.12.01 ~ 2020.12.10,미지원,,"90,000"
더짐피트니스,최연욱,02-338-9119,부산광역시 북구 백양대로 1017 한성빌딩4층(구포동),6명,260 ㎡,필라테스,"청각/언어, 기타",[12월] 필라테스 저녁 매일,20:00 ~ 20:50,"월,화,수,목,금","진유경,정서현",2020.12.01 ~ 2020.12.10,미지원,,"90,000"
더짐피트니스,최연욱,02-338-9119,부산광역시 북구 백양대로 1017 한성빌딩4층(구포동),6명,260 ㎡,필라테스,"청각/언어, 기타",[12월] 필라테스 저녁 월 수 금,20:00 ~ 20:50,"월,수,금",진유경,2020.12.01 ~ 2020.12.10,미지원,,"90,000"
더짐피트니스,최연욱,02-338-9119,부산광역시 북구 백양대로 1017 한성빌딩4층(구포동),6명,260 ㎡,필라테스,"청각/언어, 기타",[12월] 필라테스 저녁 화 목,19:00 ~ 19:55,"화,목",정서현,2020.12.01 ~ 2020.12.10,미지원,,"90,000"
더짐피트니스,최연욱,02-338-9119,부산광역시 북구 백양대로 1017 한성빌딩4층(구포동),6명,260 ㎡,필라테스,"청각/언어, 기타",[12월] 필라테스 저녁 화 목,20:00 ~ 20:50,"화,목",정서현,2020.12.01 ~ 2020.12.10,미지원,,"90,000"
더짐피트니스,최연욱,02-338-9119,부산광역시 북구 백양대로 1017 한성빌딩4층(구포동),6명,260 ㎡,필라테스,"청각/언어, 기타",[12월] 필라테스와 플라잉요가(오전),11:00 ~ 11:50,"월,화,수,목,금",진유경,2020.12.01 ~ 2020.12.10,미지원,,"90,000"
더짐피트니스,최연욱,02-338-9119,부산광역시 북구 백양대로 1017 한성빌딩4층(구포동),6명,260 ㎡,필라테스,"청각/언어, 기타",[12월] 필라테스와 플라잉요가(저녁),19:00 ~ 19:50,"월,화,수,목,금","진유경,정서현",2020.12.01 ~ 2020.12.10,미지원,,"90,000"
더행복한잇층가필라테스,강현주,033-264-1379,강원도 춘천시 퇴계로 199 경림빌딩 2층 잇츠요가필라테스(석사동),2명,109 ㎡,필라테스,"지체, 기타",[12월] 릴렉싱 필라테스,10:00 ~ 20:30,"월,화,수,목,금","강현주,,안도화",2020.12.01 ~ 2020.12.10,지원,"장애인 화장실,장애인용 엘리베이터,장애인전용 주차구역,주출입구 단차없음,시각장애인 편의서비스","80,000"
더행복한잇층가필라테스,강현주,033-264-1379,강원도 춘천시 퇴계로 199 경림빌딩 2층 잇츠요가필라테스(석사동),2명,109 ㎡,요가,지체,[12월] 지체장애)몸과 마음의 회복을 위한 힐링 요가,10:00 ~ 11:00,토,"강현주,,안도화",2020.12.01 ~ 2020.12.10,지원,"장애인 화장실,장애인용 엘리베이터,장애인전용 주차구역,주출입구 단차없음,시각장애인 편의서비스","80,000"
더행복한잇층가필라테스,강현주,033-264-1379,강원도 춘천시 퇴계로 199 경림빌딩 2층 잇츠요가필라테스(석사동),2명,109 ㎡,요가,기타,[12월] 파킨스환자대상) 회복을 위한 치유요가,13:00 ~ 14:00,토,강현주,2020.12.01 ~ 2020.12.10,지원,"장애인 화장실,장애인용 엘리베이터,장애인전용 주차구역,주출입구 단차없음,시각장애인 편의서비스","80,000"
더행복한잇층가필라테스,강현주,033-264-1379,강원도 춘천시 퇴계로 199 경림빌딩 2층 잇츠요가필라테스(석사동),2명,109 ㎡,요가,"지체, 기타",[12월] 힐링테라피 요가,10:00 ~ 20:30,"월,화,수,목,금","강현주,,안도화",2020.12.01 ~ 2020.12.10,지원,"장애인 화장실,장애인용 엘리베이터,장애인전용 주차구역,주출입구 단차없음,시각장애인 편의서비스","80,000"
덕천이글스유도관 ,최주영,051-338-5026,부산광역시 북구 함박봉로7번길 49 2층,명, ㎡,유도,"지체, 시각, 청각/언어, 지적/자폐, 뇌병변, 기타",[12월] 뉴스포츠,14:00 ~ 22:00,"월,화,수,목,금,토",최주영,2020.12.01 ~ 2020.12.10,미지원,,"80,000"
덕천이글스유도관 ,최주영,051-338-5026,부산광역시 북구 함박봉로7번길 49 2층,명, ㎡,유도,"지체, 시각, 청각/언어, 지적/자폐, 뇌병변, 기타",[12월] 유도, ~ ,"월,화,수,목,금",,2020.12.01 ~ 2020.12.10,미지원,,"80,000"
덕천이글스유도관 ,최주영,051-338-5026,부산광역시 북구 함박봉로7번길 49 2층,명, ㎡,유도,"시각, 청각/언어",[12월] 전문 시각 청각 유도팀,08:00 ~ 23:00,"월,화,수,목,금,토",최주영,2020.12.01 ~ 2020.12.10,미지원,,"80,000"
